iter	Passed	Remaining
0	133	133599
1	134	67028
2	134	44737
3	134	33565
4	135	26899
5	135	22474
6	136	19324
7	136	16983
8	137	15143
9	138	13687
10	139	12506
11	139	11519
12	140	10654
13	140	9912
14	141	9268
15	141	8729
16	142	8253
17	143	7818
18	144	7436
19	144	7086
20	145	6765
21	145	6480
22	146	6215
23	146	5976
24	147	5758
25	148	5555
26	148	5364
27	149	5196
28	150	5027
29	150	4867
30	151	4721
31	151	4580
32	151	4448
33	152	4330
34	152	4212
35	153	4099
36	153	3996
37	153	3896
38	154	3803
39	154	3711
40	155	3625
41	155	3544
42	155	3464
43	155	3389
44	156	3315
45	156	3249
46	157	3185
47	157	3122
48	157	3061
49	158	3005
50	158	2946
51	158	2891
52	158	2839
53	159	2790
54	159	2743
55	160	2698
56	160	2655
57	160	2611
58	161	2568
59	161	2528
60	161	2488
61	162	2451
62	162	2413
63	162	2376
64	162	2341
65	162	2306
66	163	2277
67	163	2247
68	164	2217
69	164	2187
70	165	2159
71	165	2130
72	165	2101
73	165	2073
74	165	2045
75	166	2018
76	166	1992
77	166	1967
78	166	1943
79	166	1919
80	167	1895
81	167	1872
82	167	1850
83	167	1828
84	167	1806
85	168	1785
86	168	1766
87	168	1745
88	168	1725
89	168	1707
90	169	1688
91	169	1670
92	169	1652
93	169	1635
94	169	1618
95	170	1602
96	170	1585
97	170	1570
98	170	1554
99	171	1539
100	171	1524
101	171	1510
102	171	1494
103	171	1480
104	172	1466
105	172	1453
106	172	1440
107	172	1426
108	172	1413
109	173	1400
110	173	1388
111	173	1375
112	173	1364
113	174	1352
114	174	1340
115	174	1329
116	174	1318
117	174	1307
118	175	1296
119	175	1285
120	175	1274
121	175	1264
122	175	1254
123	176	1243
124	176	1234
125	176	1224
126	176	1214
127	176	1205
128	177	1195
129	177	1186
130	177	1177
131	177	1168
132	177	1160
133	178	1151
134	178	1143
135	178	1134
136	178	1126
137	178	1117
138	179	1109
139	179	1102
140	179	1093
141	179	1086
142	180	1078
143	180	1071
144	180	1064
145	180	1057
146	180	1050
147	181	1043
148	181	1035
149	181	1029
150	181	1022
151	182	1015
152	182	1008
153	182	1002
154	182	995
155	182	988
156	182	982
157	183	976
158	183	969
159	183	964
160	183	958
161	184	952
162	184	946
163	184	940
164	184	934
165	184	929
166	185	923
167	185	918
168	185	913
169	185	907
170	186	903
171	186	899
172	187	894
173	187	889
174	187	885
175	188	880
176	188	875
177	188	871
178	189	867
179	189	862
180	189	858
181	189	853
182	190	848
183	190	843
184	190	838
185	190	834
186	190	829
187	191	825
188	191	820
189	191	816
190	191	811
191	191	807
192	192	803
193	192	798
194	192	794
195	192	790
196	192	786
197	193	782
198	193	778
199	193	773
200	193	769
201	193	765
202	194	762
203	194	757
204	194	753
205	194	750
206	194	746
207	195	742
208	195	738
209	195	735
210	195	731
211	195	727
212	196	724
213	196	720
214	196	717
215	196	713
216	196	710
217	196	706
218	197	703
219	197	699
220	197	696
221	197	693
222	198	690
223	198	686
224	198	683
225	198	680
226	199	677
227	199	674
228	199	671
229	199	668
230	199	665
231	200	663
232	200	660
233	200	657
234	200	654
235	201	651
236	201	648
237	201	646
238	202	643
239	202	640
240	202	637
241	202	634
242	202	632
243	203	629
244	203	626
245	203	624
246	203	621
247	204	618
248	204	616
249	204	613
250	204	611
251	205	608
252	205	606
253	205	603
254	205	601
255	206	599
256	206	596
257	206	594
258	206	591
259	207	589
260	207	587
261	207	584
262	207	582
263	208	580
264	208	577
265	208	575
266	208	573
267	209	570
268	209	568
269	209	566
270	209	564
271	209	561
272	210	559
273	210	557
274	210	555
275	210	553
276	211	551
277	211	549
278	211	547
279	211	544
280	212	542
281	212	540
282	212	538
283	212	536
284	213	534
285	213	532
286	213	530
287	213	528
288	214	526
289	214	524
290	214	522
291	214	520
292	215	518
293	215	516
294	215	515
295	215	513
296	216	511
297	216	509
298	216	507
299	216	505
300	216	503
301	217	501
302	217	500
303	217	498
304	218	496
305	218	495
306	218	493
307	218	491
308	219	489
309	219	488
310	219	486
311	219	484
312	220	483
313	220	481
314	220	479
315	220	478
316	221	476
317	221	474
318	221	473
319	221	471
320	222	470
321	222	468
322	222	466
323	222	465
324	223	463
325	223	461
326	223	460
327	223	458
328	224	457
329	224	455
330	224	453
331	224	452
332	224	450
333	225	449
334	225	447
335	225	445
336	225	444
337	226	442
338	226	441
339	226	439
340	226	438
341	227	436
342	227	435
343	227	433
344	227	432
345	227	430
346	228	429
347	228	427
348	228	426
349	228	425
350	229	423
351	229	422
352	229	420
353	229	419
354	230	418
355	230	416
356	230	415
357	230	413
358	230	412
359	231	410
360	231	409
361	231	408
362	231	406
363	231	405
364	232	403
365	232	402
366	232	401
367	232	399
368	232	398
369	233	397
370	233	395
371	233	394
372	233	393
373	234	391
374	234	390
375	234	389
376	234	387
377	234	386
378	235	385
379	235	383
380	235	382
381	235	381
382	235	380
383	236	378
384	236	377
385	236	376
386	236	375
387	237	374
388	237	372
389	237	371
390	237	370
391	238	369
392	238	367
393	238	366
394	238	365
395	238	364
396	239	363
397	239	362
398	239	360
399	239	359
400	239	358
401	240	357
402	240	356
403	240	354
404	240	353
405	241	352
406	241	351
407	241	350
408	241	349
409	241	348
410	242	346
411	242	345
412	242	344
413	242	343
414	242	342
415	243	341
416	243	340
417	243	338
418	243	337
419	243	336
420	244	335
421	244	334
422	244	333
423	244	332
424	244	331
425	245	330
426	245	329
427	245	328
428	245	327
429	245	326
430	246	325
431	246	324
432	246	322
433	246	321
434	247	320
435	247	319
436	247	318
437	247	317
438	247	316
439	248	315
440	248	314
441	248	313
442	248	312
443	248	311
444	249	310
445	249	309
446	249	308
447	249	307
448	250	306
449	250	305
450	250	304
451	250	303
452	250	303
453	251	302
454	251	301
455	251	300
456	251	299
457	252	298
458	252	297
459	252	296
460	252	295
461	252	294
462	253	293
463	253	292
464	253	291
465	253	290
466	253	289
467	254	288
468	254	287
469	254	286
470	254	286
471	254	285
472	255	284
473	255	283
474	255	282
475	255	281
476	255	280
477	256	279
478	256	278
479	256	278
480	256	277
481	257	276
482	257	275
483	257	274
484	257	273
485	257	272
486	258	271
487	258	271
488	258	270
489	258	269
490	258	268
491	259	267
492	259	266
493	259	265
494	259	265
495	260	264
496	260	263
497	260	262
498	260	261
499	260	260
500	261	259
501	261	259
502	261	258
503	261	257
504	261	256
505	262	255
506	262	254
507	262	254
508	262	253
509	262	252
510	263	251
511	263	250
512	263	250
513	263	249
514	264	248
515	264	247
516	264	247
517	264	246
518	264	245
519	265	244
520	265	243
521	265	243
522	265	242
523	265	241
524	266	240
525	266	240
526	266	239
527	266	238
528	267	237
529	267	236
530	267	236
531	267	235
532	267	234
533	268	233
534	268	233
535	268	232
536	268	231
537	268	230
538	269	230
539	269	229
540	269	228
541	269	228
542	270	227
543	270	226
544	270	225
545	270	225
546	270	224
547	271	223
548	271	222
549	271	222
550	271	221
551	271	220
552	272	219
553	272	219
554	272	218
555	272	217
556	272	217
557	273	216
558	273	215
559	273	214
560	273	214
561	273	213
562	274	212
563	274	212
564	274	211
565	274	210
566	275	210
567	275	209
568	275	208
569	275	207
570	275	207
571	276	206
572	276	205
573	276	205
574	276	204
575	277	203
576	277	203
577	277	202
578	277	201
579	277	201
580	278	200
581	278	199
582	278	199
583	278	198
584	278	197
585	279	197
586	279	196
587	279	195
588	279	195
589	280	194
590	280	193
591	280	193
592	280	192
593	280	191
594	281	191
595	281	190
596	281	190
597	281	189
598	281	188
599	282	188
600	282	187
601	282	186
602	282	186
603	282	185
604	283	184
605	283	184
606	283	183
607	283	183
608	284	182
609	284	181
610	284	181
611	284	180
612	284	179
613	285	179
614	285	178
615	285	178
616	285	177
617	286	176
618	286	176
619	286	175
620	286	174
621	286	174
622	287	173
623	287	173
624	287	172
625	287	171
626	288	171
627	288	170
628	288	170
629	288	169
630	288	168
631	289	168
632	289	167
633	289	167
634	289	166
635	289	165
636	290	165
637	290	164
638	290	164
639	290	163
640	291	163
641	291	162
642	291	161
643	291	161
644	291	160
645	292	160
646	292	159
647	292	158
648	292	158
649	292	157
650	293	157
651	293	156
652	293	156
653	293	155
654	294	154
655	294	154
656	294	153
657	294	153
658	294	152
659	295	151
660	295	151
661	295	150
662	295	150
663	295	149
664	296	149
665	296	148
666	296	148
667	296	147
668	296	146
669	297	146
670	297	145
671	297	145
672	297	144
673	297	144
674	298	143
675	298	143
676	298	142
677	298	141
678	299	141
679	299	140
680	299	140
681	299	139
682	300	139
683	300	138
684	300	138
685	300	137
686	301	137
687	301	136
688	301	136
689	301	135
690	301	135
691	302	134
692	302	133
693	302	133
694	302	132
695	303	132
696	303	131
697	303	131
698	303	130
699	303	130
700	304	129
701	304	129
702	304	128
703	304	128
704	305	127
705	305	127
706	305	126
707	305	126
708	305	125
709	306	125
710	306	124
711	306	123
712	306	123
713	306	122
714	307	122
715	307	121
716	307	121
717	307	120
718	308	120
719	308	119
720	308	119
721	308	118
722	308	118
723	309	117
724	309	117
725	309	116
726	309	116
727	309	115
728	310	115
729	310	114
730	310	114
731	310	113
732	310	113
733	311	112
734	311	112
735	311	111
736	311	111
737	312	110
738	312	110
739	312	109
740	312	109
741	312	108
742	313	108
743	313	107
744	313	107
745	313	106
746	313	106
747	314	105
748	314	105
749	314	104
750	314	104
751	314	103
752	315	103
753	315	102
754	315	102
755	315	101
756	315	101
757	316	100
758	316	100
759	316	100
760	316	99
761	317	99
762	317	98
763	317	98
764	317	97
765	318	97
766	318	96
767	318	96
768	319	95
769	319	95
770	319	94
771	319	94
772	319	93
773	320	93
774	320	93
775	320	92
776	320	92
777	321	91
778	321	91
779	321	90
780	321	90
781	321	89
782	322	89
783	322	88
784	322	88
785	322	87
786	322	87
787	323	86
788	323	86
789	323	86
790	323	85
791	324	85
792	324	84
793	324	84
794	324	83
795	324	83
796	325	82
797	325	82
798	325	81
799	325	81
800	325	80
801	326	80
802	326	80
803	326	79
804	326	79
805	326	78
806	327	78
807	327	77
808	327	77
809	327	76
810	328	76
811	328	75
812	328	75
813	328	75
814	328	74
815	329	74
816	329	73
817	329	73
818	329	72
819	329	72
820	330	71
821	330	71
822	330	71
823	330	70
824	331	70
825	331	69
826	331	69
827	331	68
828	331	68
829	332	68
830	332	67
831	332	67
832	332	66
833	333	66
834	333	65
835	333	65
836	333	64
837	333	64
838	334	64
839	334	63
840	334	63
841	334	62
842	334	62
843	335	61
844	335	61
845	335	61
846	335	60
847	335	60
848	336	59
849	336	59
850	336	58
851	336	58
852	337	58
853	337	57
854	337	57
855	337	56
856	337	56
857	338	55
858	338	55
859	338	55
860	338	54
861	338	54
862	339	53
863	339	53
864	339	52
865	339	52
866	340	52
867	340	51
868	340	51
869	340	50
870	341	50
871	341	50
872	341	49
873	341	49
874	342	48
875	342	48
876	342	48
877	342	47
878	342	47
879	343	46
880	343	46
881	343	45
882	343	45
883	344	45
884	344	44
885	344	44
886	344	43
887	345	43
888	345	43
889	345	42
890	345	42
891	345	41
892	346	41
893	346	41
894	346	40
895	346	40
896	347	39
897	347	39
898	347	39
899	347	38
900	347	38
901	348	37
902	348	37
903	348	37
904	348	36
905	349	36
906	349	35
907	349	35
908	349	35
909	350	34
910	350	34
911	350	33
912	351	33
913	351	33
914	351	32
915	351	32
916	352	31
917	352	31
918	352	31
919	352	30
920	353	30
921	353	29
922	353	29
923	353	29
924	354	28
925	355	28
926	355	27
927	355	27
928	355	27
929	356	26
930	356	26
931	356	26
932	357	25
933	357	25
934	357	24
935	357	24
936	358	24
937	358	23
938	358	23
939	358	22
940	359	22
941	359	22
942	360	21
943	360	21
944	360	21
945	361	20
946	361	20
947	362	19
948	363	19
949	363	19
950	364	18
951	364	18
952	364	17
953	365	17
954	365	17
955	365	16
956	366	16
957	366	16
958	366	15
959	367	15
960	367	14
961	367	14
962	367	14
963	368	13
964	368	13
965	368	12
966	368	12
967	369	12
968	369	11
969	369	11
970	370	11
971	370	10
972	370	10
973	370	9
974	371	9
975	371	9
976	372	8
977	372	8
978	372	7
979	373	7
980	373	7
981	373	6
982	374	6
983	374	6
984	374	5
985	375	5
986	375	4
987	375	4
988	375	4
989	376	3
990	376	3
991	376	3
992	376	2
993	377	2
994	377	1
995	377	1
996	378	1
997	378	0
998	378	0
999	379	0
